state,total_population,total_surveyed,no_coverage_total,no_coverage_pct,hi2,hi3,hi4,hi5,hi6,hi7,hi8,hi9,hi10,hi11,hi12,hi13,hi14,hi15,hi16,hi17,hi18,hi19,hi20,hi21,hi22,hi23,hi24,hi25,hi26,hi27,hi28,hi29,hi30,hi31,hi32,hi33,state_fips,hi34,hi35,hi36,hi37,hi38,hi39,hi40,hi41,hi42,hi43,hi44,hi45,hi46,hi47,hi48,hi49,hi50,hi51,hi52,hi53,hi54,hi55,hi56,hi57,hi58,hi59,hi60,hi61,hi62,hi63,hi64,hi65,hi66
Alabama,5028092,4944981,472079,0.09546629198373058,1184371,1067177,507739,53318,3914,473992,27719,495,77709,14784,216,2361,10708,149,49491,39485,1039624,776866,578792,86691,4449,87271,16229,3434,69487,25230,919,6070,7095,553,29620,193271,01,1872913,1409498,1053242,144375,60353,111344,29848,10336,227764,44200,15046,10424,49416,15380,5472,87826,235651,848073,274605,16541,2549,254717,210,588,569796,595,156010,138981,64563,253,17289,192105,3672
Alaska,734821,706392,82562,0.11687844709453109,187929,149902,71655,5696,587,56631,15042,291,21618,2133,375,240,5107,42,13721,16409,157377,110337,70057,6194,435,24726,7778,1147,15589,2435,222,997,3660,84,8191,31451,02,268582,202233,144038,14270,2185,32221,7014,2505,32643,5693,860,136,3713,4451,1154,16636,33706,92504,25416,3262,268,21661,50,175,66092,103,25911,7074,9167,137,3350,20350,996
Arizona,7172282,7060320,759133,0.10752104720465928,1693683,1436967,774436,86192,3555,545484,26645,655,109027,18024,681,4346,8934,651,76391,147689,1534836,1175960,799685,97384,3877,252613,16328,6073,89947,29341,933,5773,6412,1611,45877,268929,04,2552610,2004447,1431319,191080,39826,300461,26594,15167,216233,47066,9491,5086,37622,12204,7219,97545,331930,1279191,485441,27503,7428,449697,196,617,783165,1538,170539,247853,96009,154,38292,228780,10585
Arkansas,3018669,2964272,261691,0.08828170964068074,739851,657783,269117,30994,1764,345088,10308,512,42210,5385,274,2610,3426,392,30123,39858,620405,481944,311348,43187,3405,116312,5443,2249,39347,10432,656,5143,2390,646,20080,99114,05,1101033,856876,570382,89952,36653,140835,10470,8584,123731,19702,6602,5154,35657,4387,5311,46918,120426,502983,178325,8379,1169,167970,146,661,322365,160,59043,105129,40336,59,19419,98219,2293
California,39356104,38874540,2752067,0.07079355794306505,9326787,8373533,4226893,541730,30274,3470722,101597,2317,640611,120438,3759,29103,38541,1953,446817,312643,8853797,7374101,4608636,768998,33934,1879980,62609,19944,485118,171289,6420,35851,24949,6425,240184,994578,06,14932464,12449806,8423183,1411269,171098,2331483,68914,43859,1101018,298835,43511,19699,225606,36091,25367,451909,1381640,5761492,2133310,221174,40127,1866245,1381,4383,3564976,7485,1001131,775466,887132,816,101706,791240,63206
Colorado,5770790,5675719,443740,0.07818216511423487,1318882,1161647,665261,77481,2715,379029,36681,480,90566,12960,365,2759,13201,234,61047,66669,1321553,1073223,747530,113364,3293,182427,21441,5168,82973,27663,828,4153,8458,1660,40211,165357,08,2198038,1813095,1337680,202976,23422,206629,31557,10831,178737,41331,5760,3599,28623,14694,5278,79452,206206,837246,327684,27881,3029,295935,235,604,504054,1166,123769,157345,49758,242,20022,151752,5508
Connecticut,3611317,3567016,184112,0.05161513152730462,794617,724610,434117,33156,691,251044,5485,117,47716,8606,205,1386,2958,125,34436,22291,732306,631158,423541,61502,2436,138349,3791,1539,37358,13682,964,3575,1434,395,17308,63790,09,1430476,1235314,922850,103626,18209,182266,5364,2999,101977,27214,6333,2370,24930,3030,2123,35977,93185,609617,216827,25014,3014,188354,73,372,387944,637,125203,101019,55809,32,9744,95500,4846
Delaware,993635,979853,58735,0.059942664869118124,221082,194440,108134,10077,197,73331,2701,0,18229,3171,38,369,1739,0,12912,8413,195009,159268,110645,13295,640,32224,2056,408,14309,4665,144,963,1813,53,6671,21432,10,372681,306163,229442,24907,6653,40281,3368,1512,38646,9282,2187,899,7080,2754,677,15767,27872,191081,52941,3929,297,48651,0,64,137122,153,46297,35630,8330,57,2324,44331,1018
District of Columbia,670587,661596,22592,0.03414772761624919,132084,120631,56197,9022,246,53233,1933,0,8094,1393,360,620,717,0,5004,3359,202777,182767,130131,20581,345,30075,1460,175,10938,4358,243,1022,584,73,4658,9072,11,244505,212632,152293,16007,2052,40588,1228,464,22157,5228,818,209,5282,1139,568,8913,9716,82230,21430,6149,579,14676,2,24,60355,367,22268,8505,12574,29,1125,15487,445
Florida,21634529,21300363,2620725,0.12303663557283037,4498693,3899632,1784255,381898,10733,1633105,86699,2942,262495,44519,1574,12141,30966,1134,172161,336566,4193943,3056407,2031332,548798,14091,398933,46029,17224,212319,73496,2457,18774,18410,2593,96589,925217,12,8187016,6164251,4160778,1190479,155469,499630,105316,52579,713030,154667,29051,19687,142583,42912,19023,305107,1309735,4420711,1814730,90989,41934,1677169,1731,2907,2556774,5039,559066,723610,421212,651,109597,737599,49207
