Year,State,smoke_pct,dont_smoke_pct
2016,AK,4.1,95.9
2016,AL,5.2,94.9
2016,AR,5.8,94.2
2016,AZ,5.2,94.8
2016,CA,3.2,96.7
2016,CO,5.2,94.8
2016,CT,4.1,95.9
2016,DC,2.4,97.6
2016,DE,4.0,96.0
2016,FL,4.7,95.3
2016,GA,4.8,95.2
2016,GU,7.6,92.4
2016,HI,4.3,95.7
2016,IA,4.3,95.6
2016,ID,4.6,95.4
2016,IL,4.3,95.7
2016,IN,4.8,95.3
2016,KS,4.9,95.1
2016,KY,5.7,94.4
2016,LA,6.0,94.0
2016,MA,4.4,95.6
2016,MD,3.2,96.8
2016,ME,3.8,96.2
2016,MI,5.0,95.1
2016,MN,3.8,96.2
2016,MO,5.0,95.0
2016,MS,4.6,95.4
2016,MT,4.0,96.0
2016,NC,4.4,95.6
2016,ND,3.7,96.4
2016,NE,5.0,95.1
2016,NH,5.1,94.9
2016,NJ,3.7,96.3
2016,NM,4.8,95.1
2016,NV,6.0,93.9
2016,NY,4.1,95.9
2016,OH,5.7,94.3
2016,OK,6.7,93.3
2016,OR,4.4,95.6
2016,PA,4.2,95.8
2016,PR,0.7,99.3
2016,RI,4.5,95.6
2016,SC,4.8,95.2
2016,SD,2.9,97.1
2016,TN,5.7,94.3
2016,TX,4.7,95.3
2016,US,4.5,95.6
2016,UT,5.1,94.9
2016,UW,4.5,95.5
2016,VA,4.9,95.1
2016,VT,3.4,96.6
2016,WA,5.2,94.7
2016,WI,5.3,94.7
2016,WV,4.7,95.3
2016,WY,5.5,94.4
2017,AK,3.4,96.5
2017,AL,4.9,95.0
2017,AR,5.6,94.3
2017,AZ,5.3,94.7
2017,CA,3.0,97.0
2017,CO,5.3,94.6
2017,CT,3.2,96.8
2017,DC,2.2,97.7
2017,DE,4.8,95.1
2017,FL,4.3,95.6
2017,GA,4.4,95.6
2017,GU,6.6,93.4
2017,HI,4.7,95.4
2017,IA,4.0,96.0
2017,ID,4.6,95.3
2017,IL,4.4,95.6
2017,IN,6.0,94.0
2017,KS,4.6,95.4
2017,KY,6.0,94.0
2017,LA,4.5,95.5
2017,MA,3.3,96.7
2017,MD,3.3,96.7
2017,ME,4.1,96.0
2017,MI,4.9,95.1
2017,MN,3.7,96.4
2017,MO,5.2,94.9
2017,MS,5.0,95.1
2017,MT,3.9,96.1
2017,NC,4.6,95.4
2017,ND,4.3,95.7
2017,NE,3.8,96.1
2017,NH,4.5,95.5
2017,NJ,4.4,95.6
2017,NM,4.8,95.2
2017,NV,5.5,94.5
2017,NY,3.8,96.2
2017,OH,5.3,94.7
2017,OK,7.1,92.9
2017,OR,4.4,95.6
2017,PA,4.7,95.3
2017,PR,1.2,98.8
2017,RI,4.9,95.1
2017,SC,4.1,96.0
2017,SD,3.9,96.0
2017,TN,5.9,94.2
2017,TX,4.7,95.3
2017,US,4.4,95.6
2017,UT,5.1,94.9
2017,UW,4.4,95.6
2017,VA,5.0,95.0
2017,VT,3.1,96.9
2017,WA,4.2,95.8
2017,WI,4.3,95.7
2017,WV,5.6,94.3
2017,WY,5.7,94.2
2021,AK,6.2,93.8
2021,AL,9.1,90.8
2021,AR,7.3,92.7
2021,AZ,8.7,91.2
2021,CA,5.2,94.9
2021,CO,6.9,93.2
2021,CT,5.0,95.1
2021,DC,4.8,95.2
2021,DE,6.1,93.9
2021,GA,7.9,92.2
2021,GU,11.1,88.9
2021,HI,7.3,92.7
2021,IA,6.3,93.7
2021,ID,7.4,92.6
2021,IL,6.4,93.6
2021,IN,8.0,91.9
2021,KS,6.6,93.4
2021,KY,9.3,90.7
2021,LA,8.9,91.1
2021,MA,4.7,95.3
2021,MD,4.4,95.6
2021,ME,5.8,94.2
2021,MI,7.5,92.4
2021,MN,5.7,94.3
2021,MO,7.4,92.7
2021,MS,6.4,93.5
2021,MT,6.1,94.0
2021,NC,6.8,93.2
2021,ND,7.4,92.7
2021,NE,6.6,93.4
2021,NH,4.9,95.1
2021,NJ,6.0,94.0
2021,NM,7.3,92.7
2021,NV,7.0,93.0
2021,NY,5.4,94.6
2021,OH,7.8,92.2
2021,OK,9.4,90.6
2021,OR,6.6,93.3
2021,PA,6.1,94.0
2021,PR,2.1,97.9
2021,RI,6.2,93.8
2021,SC,7.2,92.8
2021,SD,6.1,93.9
2021,TN,9.1,90.9
2021,TX,5.9,94.1
2021,US,6.6,92.4
2021,UT,7.2,92.8
2021,UW,6.6,92.3
2021,VA,6.7,93.2
2021,VT,5.1,95.0
2021,WA,6.4,93.6
2021,WI,6.2,93.8
2021,WV,7.2,92.9
2021,WY,7.5,92.6
2022,AK,6.8,93.2
2022,AL,10.4,89.6
2022,AR,10.4,89.7
2022,AZ,9.0,91.0
2022,CA,7.2,92.8
2022,CO,8.3,91.7
2022,CT,5.5,94.4
2022,DC,5.4,94.6
2022,DE,6.0,94.0
2022,FL,6.1,93.9
2022,GA,7.7,92.3
2022,GU,12.1,87.9
2022,HI,8.8,91.2
2022,IA,6.7,93.3
2022,ID,10.0,90.0
2022,IL,5.1,94.8
2022,IN,8.1,91.9
2022,KS,8.1,91.9
2022,KY,10.5,89.5
2022,LA,10.4,89.6
2022,MA,5.6,94.4
2022,MD,4.5,95.4
2022,ME,6.1,93.9
2022,MI,8.4,91.5
2022,MN,6.9,93.1
2022,MO,8.1,91.8
2022,MS,9.3,90.7
2022,MT,7.6,92.3
2022,NC,8.0,92.0
2022,ND,8.9,91.0
2022,NE,8.5,91.6
2022,NH,7.0,92.9
2022,NJ,6.1,93.9
2022,NM,7.4,92.6
2022,NV,8.9,91.2
2022,NY,7.2,92.8
2022,OH,8.8,91.2
2022,OK,11.0,89.1
2022,OR,7.0,93.1
2022,PA,7.5,92.6
2022,PR,3.1,96.8
2022,RI,6.7,93.4
2022,SC,8.2,91.8
2022,SD,6.7,93.3
2022,TN,10.8,89.1
2022,TX,7.1,92.9
2022,US,7.6,92.4
2022,UT,7.6,92.4
2022,UW,7.7,92.4
2022,VA,7.7,92.3
2022,VT,6.2,93.8
2022,WA,7.1,93.0
2022,WI,6.8,93.2
2022,WV,9.3,90.7
2022,WY,8.3,91.7
