Year,State,smoke_pct,dont_smoke_pct
2011,AK,22.9,77.0
2011,AL,24.4,75.7
2011,AR,26.9,73.1
2011,AZ,19.3,80.8
2011,CA,13.6,86.4
2011,CO,18.3,81.8
2011,CT,17.1,82.9
2011,DC,20.8,79.2
2011,DE,21.8,78.3
2011,FL,19.3,80.8
2011,GA,21.2,78.8
2011,GU,30.5,69.5
2011,HI,16.9,83.2
2011,IA,20.3,79.6
2011,ID,17.2,82.9
2011,IL,20.9,79.1
2011,IN,25.6,74.4
2011,KS,22.0,78.0
2011,KY,29.0,71.1
2011,LA,25.7,74.3
2011,MA,18.2,81.8
2011,MD,19.1,80.9
2011,ME,22.8,77.2
2011,MI,23.3,76.7
2011,MN,19.1,80.9
2011,MO,25.0,75.0
2011,MS,25.9,74.1
2011,MT,22.1,77.9
2011,NC,21.8,78.2
2011,ND,21.8,78.2
2011,NE,19.9,80.0
2011,NH,19.3,80.7
2011,NJ,16.9,83.2
2011,NM,21.4,78.5
2011,NV,22.9,77.1
2011,NY,18.1,81.9
2011,OH,25.1,74.9
2011,OK,26.1,73.9
2011,OR,19.8,80.3
2011,PA,22.5,77.6
2011,PR,14.8,85.2
2011,RI,20.1,79.9
2011,SC,23.2,76.8
2011,SD,23.1,77.0
2011,TN,23.0,77.0
2011,TX,19.2,80.8
2011,US,20.9,77.9
2011,UT,11.8,88.2
2011,UW,20.9,78.0
2011,VA,20.9,79.1
2011,VT,19.1,80.9
2011,WA,17.5,82.5
2011,WI,20.9,79.1
2011,WV,28.7,71.4
2011,WY,23.0,77.0
2012,AK,20.5,79.5
2012,AL,23.8,76.3
2012,AR,25.1,74.9
2012,AZ,17.1,82.9
2012,CA,12.6,87.4
2012,CO,17.7,82.3
2012,CT,16.0,84.0
2012,DC,19.6,80.4
2012,DE,19.7,80.3
2012,FL,17.7,82.3
2012,GA,20.3,79.6
2012,GU,25.8,74.2
2012,HI,14.5,85.5
2012,IA,18.1,81.9
2012,ID,16.5,83.6
2012,IL,18.6,81.4
2012,IN,24.0,76.1
2012,KS,19.4,80.7
2012,KY,28.3,71.8
2012,LA,24.8,75.3
2012,MA,16.4,83.6
2012,MD,16.2,83.8
2012,ME,20.3,79.7
2012,MI,23.4,76.7
2012,MN,18.8,81.2
2012,MO,23.9,76.1
2012,MS,24.0,76.0
2012,MT,19.7,80.3
2012,NC,20.9,79.1
2012,ND,21.2,78.8
2012,NE,19.7,80.3
2012,NH,17.2,82.9
2012,NJ,17.3,82.7
2012,NM,19.3,80.7
2012,NV,18.1,81.9
2012,NY,16.2,83.8
2012,OH,23.3,76.7
2012,OK,23.3,76.8
2012,OR,17.9,82.2
2012,PA,21.4,78.7
2012,PR,12.6,87.4
2012,RI,17.4,82.5
2012,SC,22.6,77.4
2012,SD,22.0,78.1
2012,TN,24.9,75.2
2012,TX,18.1,81.8
2012,US,19.2,79.5
2012,UT,10.6,89.4
2012,UW,19.2,79.6
2012,VA,19.0,81.0
2012,VT,16.4,83.6
2012,WA,17.2,82.9
2012,WI,20.4,79.7
2012,WV,28.2,71.8
2012,WY,21.8,78.3
2013,AK,22.5,77.4
2013,AL,21.5,78.5
2013,AR,26.0,74.1
2013,AZ,16.4,83.6
2013,CA,12.6,87.5
2013,CO,17.6,82.3
2013,CT,15.5,84.5
2013,DC,18.9,81.2
2013,DE,19.5,80.4
2013,FL,16.9,83.2
2013,GA,18.8,81.2
2013,GU,26.5,73.5
2013,HI,13.4,86.7
2013,IA,19.5,80.5
2013,ID,17.2,82.9
2013,IL,18.1,82.0
2013,IN,21.9,78.1
2013,KS,20.0,79.9
2013,KY,26.5,73.6
2013,LA,23.5,76.5
2013,MA,16.6,83.4
2013,MD,16.4,83.6
2013,ME,20.3,79.8
2013,MI,21.5,78.6
2013,MN,18.0,82.0
2013,MO,22.1,77.9
2013,MS,24.9,75.2
2013,MT,19.0,81.0
2013,NC,20.3,79.8
2013,ND,21.2,78.9
2013,NE,18.4,81.6
2013,NH,16.2,83.7
2013,NJ,15.6,84.4
2013,NM,19.2,80.9
2013,NV,19.4,80.6
2013,NY,16.6,83.4
2013,OH,23.3,76.7
2013,OK,23.7,76.3
2013,OR,17.4,82.7
2013,PA,21.0,79.1
2013,PR,10.8,89.2
2013,RI,17.4,82.6
2013,SC,22.0,78.0
2013,SD,19.6,80.5
2013,TN,24.3,75.7
2013,TX,15.9,84.1
2013,US,18.8,80.2
2013,UT,10.3,89.7
2013,UW,18.8,80.3
2013,VA,19.0,81.0
2013,VT,16.6,83.4
2013,WA,16.0,84.0
2013,WI,18.7,81.3
2013,WV,27.3,72.7
2013,WY,20.7,79.4
2014,AK,19.9,80.1
2014,AL,21.2,78.9
2014,AR,24.8,75.2
2014,AZ,16.5,83.5
2014,CA,12.9,87.1
2014,CO,15.7,84.3
2014,CT,15.4,84.6
2014,DC,16.3,83.7
2014,DE,19.9,80.1
2014,FL,17.7,82.4
2014,GA,17.4,82.6
2014,GU,29.3,70.8
2014,HI,14.1,85.8
2014,IA,18.5,81.6
2014,ID,15.9,84.1
2014,IL,16.5,83.5
2014,IN,22.9,77.1
2014,KS,18.1,81.9
2014,KY,26.1,73.9
2014,LA,24.0,76.0
2014,MA,14.7,85.3
2014,MD,14.6,85.4
2014,ME,19.3,80.7
2014,MI,21.2,78.9
2014,MN,16.3,83.8
2014,MO,20.6,79.4
2014,MS,23.0,77.1
2014,MT,20.0,80.1
2014,NC,19.1,80.9
2014,ND,19.9,80.1
2014,NE,17.3,82.7
2014,NH,17.6,82.5
2014,NJ,15.2,84.9
2014,NM,19.2,80.9
2014,NV,16.9,83.0
2014,NY,14.4,85.6
2014,OH,21.0,79.0
2014,OK,21.1,79.0
2014,OR,16.9,83.0
2014,PA,19.9,80.1
2014,PR,11.3,88.8
2014,RI,16.2,83.7
2014,SC,21.5,78.5
2014,SD,18.6,81.4
2014,TN,24.2,75.8
2014,TX,14.6,85.5
2014,US,18.1,80.7
2014,UT,9.7,90.4
2014,UW,18.1,80.9
2014,VA,19.6,80.5
2014,VT,16.4,83.6
2014,WA,15.3,84.7
2014,WI,17.4,82.6
2014,WV,26.7,73.4
2014,WY,19.5,80.5
2015,AK,19.1,80.9
2015,AL,21.4,78.6
2015,AR,24.8,75.1
2015,AZ,14.0,85.9
2015,CA,11.7,88.3
2015,CO,15.6,84.3
2015,CT,13.5,86.5
2015,DC,16.0,84.0
2015,DE,17.3,82.6
2015,FL,15.8,84.2
2015,GA,17.7,82.4
2015,GU,27.4,72.6
2015,HI,14.0,85.9
2015,IA,18.1,81.9
2015,ID,13.8,86.1
2015,IL,15.2,84.9
2015,IN,20.6,79.4
2015,KS,17.7,82.3
2015,KY,25.9,74.0
2015,LA,21.8,78.2
2015,MA,14.0,86.0
2015,MD,15.1,84.9
2015,ME,19.4,80.5
2015,MI,20.7,79.3
2015,MN,16.2,83.8
2015,MO,22.3,77.8
2015,MS,22.5,77.4
2015,MT,18.9,81.1
2015,NC,19.0,81.0
2015,ND,18.7,81.3
2015,NE,17.0,82.9
2015,NH,15.9,84.1
2015,NJ,13.6,86.5
2015,NM,17.5,82.4
2015,NV,17.5,82.5
2015,NY,15.2,84.8
2015,OH,21.6,78.4
2015,OK,22.2,77.9
2015,OR,17.1,82.9
2015,PA,18.2,81.9
2015,PR,10.8,89.2
2015,RI,15.5,84.5
2015,SC,19.7,80.4
2015,SD,20.1,79.9
2015,TN,21.8,78.1
2015,TX,15.2,84.7
2015,US,17.1,81.5
2015,UT,9.1,91.0
2015,UW,17.1,81.6
