Year,State,Break_Out,smoke_pct,dont_smoke_pct
2011,AK,18-24,21.8,78.19999999999999
2011,AK,25-34,30.200000000000003,69.8
2011,AK,35-44,21.6,78.4
2011,AK,45-54,26.5,73.5
2011,AK,55-64,18.9,81.19999999999999
2011,AK,65+,12.399999999999999,87.5
2011,AL,18-24,30.299999999999997,69.7
2011,AL,25-34,30.7,69.2
2011,AL,35-44,25.6,74.5
2011,AL,45-54,29.200000000000003,70.7
2011,AL,55-64,22.3,77.9
2011,AL,65+,10.2,89.8
2011,AR,18-24,27.099999999999994,72.89999999999999
2011,AR,25-34,38.900000000000006,61.099999999999994
2011,AR,35-44,26.8,73.3
2011,AR,45-54,35.5,64.5
2011,AR,55-64,23.0,77.0
2011,AR,65+,11.600000000000001,88.4
2011,AZ,18-24,19.2,80.8
2011,AZ,25-34,27.200000000000003,72.8
2011,AZ,35-44,19.0,81.0
2011,AZ,45-54,21.3,78.69999999999999
2011,AZ,55-64,19.8,80.2
2011,AZ,65+,9.0,91.1
2011,CA,18-24,13.399999999999999,86.6
2011,CA,25-34,17.6,82.3
2011,CA,35-44,15.2,84.8
2011,CA,45-54,15.100000000000001,85.0
2011,CA,55-64,12.100000000000001,88.0
2011,CA,65+,6.9,93.2
2011,CO,18-24,21.6,78.39999999999999
2011,CO,25-34,26.0,74.1
2011,CO,35-44,17.7,82.30000000000001
2011,CO,45-54,18.200000000000003,81.8
2011,CO,55-64,16.200000000000003,83.9
2011,CO,65+,8.9,91.19999999999999
2011,CT,18-24,19.4,80.6
2011,CT,25-34,26.4,73.6
2011,CT,35-44,17.2,82.7
2011,CT,45-54,18.6,81.4
2011,CT,55-64,14.5,85.4
2011,CT,65+,8.5,91.5
2011,DC,18-24,,
2011,DC,25-34,26.3,73.7
2011,DC,35-44,18.700000000000003,81.2
2011,DC,45-54,28.9,71.2
2011,DC,55-64,20.0,80.0
2011,DC,65+,11.0,89.0
2011,DE,18-24,,
2011,DE,25-34,35.0,64.9
2011,DE,35-44,26.099999999999998,73.9
2011,DE,45-54,22.5,77.4
2011,DE,55-64,19.5,80.5
2011,DE,65+,8.9,91.1
2011,FL,18-24,20.1,80.0
2011,FL,25-34,25.1,74.8
2011,FL,35-44,20.700000000000003,79.4
2011,FL,45-54,26.8,73.2
2011,FL,55-64,18.9,81.0
2011,FL,65+,7.8999999999999995,92.1
2011,GA,18-24,25.0,75.1
2011,GA,25-34,24.4,75.6
2011,GA,35-44,22.7,77.3
2011,GA,45-54,23.8,76.3
2011,GA,55-64,18.7,81.2
2011,GA,65+,10.8,89.2
2011,GU,18-24,34.0,66.1
2011,GU,25-34,36.7,63.4
2011,GU,35-44,34.8,65.2
2011,GU,45-54,30.4,69.60000000000001
2011,GU,55-64,22.100000000000005,77.9
2011,GU,65+,15.0,85.0
2011,HI,18-24,23.200000000000003,76.8
2011,HI,25-34,24.0,76.0
2011,HI,35-44,16.799999999999997,83.19999999999999
2011,HI,45-54,18.0,82.0
2011,HI,55-64,14.8,85.19999999999999
2011,HI,65+,6.6,93.5
2011,IA,18-24,27.1,72.9
2011,IA,25-34,27.2,72.9
2011,IA,35-44,24.6,75.5
2011,IA,45-54,22.5,77.5
2011,IA,55-64,17.7,82.3
2011,IA,65+,7.0,93.0
2011,ID,18-24,18.2,81.8
2011,ID,25-34,24.400000000000002,75.6
2011,ID,35-44,17.2,82.9
2011,ID,45-54,20.0,80.0
2011,ID,55-64,14.2,85.9
2011,ID,65+,8.4,91.5
2011,IL,18-24,,
2011,IL,25-34,25.9,74.0
2011,IL,35-44,22.3,77.80000000000001
2011,IL,45-54,23.8,76.2
2011,IL,55-64,20.7,79.30000000000001
2011,IL,65+,7.6,92.4
2011,IN,18-24,29.0,71.0
2011,IN,25-34,32.5,67.5
2011,IN,35-44,29.2,70.80000000000001
2011,IN,45-54,29.599999999999998,70.4
2011,IN,55-64,22.299999999999997,77.7
2011,IN,65+,11.5,88.5
2011,KS,18-24,24.4,75.60000000000001
2011,KS,25-34,30.4,69.6
2011,KS,35-44,23.7,76.3
2011,KS,45-54,25.5,74.6
2011,KS,55-64,18.7,81.3
2011,KS,65+,9.5,90.5
2011,KY,18-24,31.1,68.9
2011,KY,25-34,40.3,59.8
2011,KY,35-44,34.5,65.6
2011,KY,45-54,33.6,66.5
2011,KY,55-64,24.799999999999997,75.3
2011,KY,65+,10.3,89.7
2011,LA,18-24,22.9,77.2
2011,LA,25-34,36.3,63.699999999999996
2011,LA,35-44,29.400000000000002,70.5
2011,LA,45-54,29.299999999999997,70.7
