state,total_population,labor_force,unemployed,employed,internet_access,internet_access2,internet_access3,internet_access4,internet_access5,internet_access6,internet_access7,internet_access8,internet_access9,internet_access10,internet_access11,internet_access12,internet_access13,median_income,poverty_rate,education_attainment,homeownership_rate,median_rent,age_distribution,age_distribution,health_insurance,age_distribution,age_distribution,gender_distribution_male,gender_distribution_female,racial_composition,B03002_001E,state_fips,sum_internet_access,comparison
Alabama,5028092,2329696,120030,2209666,1933150,1625807,6090,1619717,1478948,294713,1221985,115813,170518,14711,1390,51456,255887,59609,4890427,3428520,179400,925,5028092,5028092,4944981,5028092,5028092,2445995,2582097,5028092,5028092,01,1625807609016197171478948294713122198511581317051814711139051456255887,False
Alaska,734821,362197,23035,339162,264376,236875,610,236265,218244,43239,182105,15864,15342,1212,205,5635,21866,86370,717293,485871,318000,1345,734821,734821,706392,734821,734821,386649,348172,734821,734821,02,2368756102362652182444323918210515864153421212205563521866,False
Arizona,7172282,3467247,186058,3281189,2739136,2448838,5550,2443288,2226250,294043,2027802,180307,226635,20315,1970,62512,227786,72581,7017776,4878959,321400,1308,7172282,7172282,7060320,7172282,7172282,3588510,3583772,7172282,7172282,04,2448838555024432882226250294043202780218030722663520315197062512227786,False
Arkansas,3018669,1391084,71601,1319483,1171694,968272,2584,965688,883988,188601,706838,67684,98526,8743,641,36213,167209,56335,2931377,2031847,162400,868,3018669,3018669,2964272,3018669,3018669,1491622,1527047,3018669,3018669,05,96827225849656888839881886017068386768498526874364136213167209,False
California,39356104,20011853,1282055,18729798,13315822,12195945,18361,12177584,11390547,1370203,10310555,671760,1084864,58921,8022,263836,856041,91905,38643585,26842698,659300,1856,39356104,39356104,38874540,39356104,39356104,19708947,19647157,39356104,39356104,06,121959451836112177584113905471370203103105556717601084864589218022263836856041,False
Colorado,5770790,3165225,143483,3021742,2278044,2095757,4374,2091383,1933875,197525,1793323,132862,174866,13236,1946,49493,132794,87598,5653289,3982760,465900,1594,5770790,5770790,5675719,5770790,5770790,2927588,2843202,5770790,5770790,08,2095757437420913831933875197525179332313286217486613236194649493132794,False
Connecticut,3611317,1947575,115050,1832525,1409807,1272555,2700,1269855,1142873,133019,1112601,118466,48639,3139,829,29921,107331,90213,3507563,2520790,323700,1374,3611317,3611317,3567016,3611317,3611317,1769196,1842121,3611317,3611317,09,1272555270012698551142873133019111260111846648639313982929921107331,False
Delaware,993635,501770,27315,474455,389000,352105,673,351432,322504,39810,302258,25987,17403,1058,114,7910,28985,79325,969075,700364,305200,1286,993635,993635,979853,993635,993635,482909,510726,993635,993635,10,3521056733514323225043981030225825987174031058114791028985,False
District of Columbia,670587,397662,28264,369398,315785,281424,292,281132,264148,27422,248241,15459,11014,467,198,8343,26018,101722,649184,484596,705000,1817,670587,670587,661596,670587,670587,320797,349790,670587,670587,11,281424292281132264148274222482411545911014467198834326018,False
Florida,21634529,10555633,531896,10023737,8353441,7429632,12312,7417320,6818610,899158,6270480,529985,500248,28565,6498,241949,681860,67917,21171700,15579847,292200,1444,21634529,21634529,21300363,21634529,21634529,10646786,10987743,21634529,21634529,12,742963212312741732068186108991586270480529985500248285656498241949681860,False
Georgia,10722325,5350069,280651,5069418,3946490,3468542,4515,3464027,3197400,427332,2880165,226182,303467,20292,2765,99070,378878,71355,10462430,7158620,245900,1221,10722325,10722325,10531900,10722325,10722325,5244476,5477849,10722325,10722325,13,3468542451534640273197400427332288016522618230346720292276599070378878,False
Hawaii,1450589,710984,35913,675071,483906,435393,862,434531,403935,47950,376193,27542,22135,1165,317,11422,37091,94814,1414636,1022529,764800,1868,1450589,1450589,1390760,1450589,1450589,732060,718529,1450589,1450589,15,43539386243453140393547950376193275422213511653171142237091,False
Idaho,1854109,907617,34154,873463,675323,608097,1915,606182,554321,76906,477205,41554,73910,6946,643,19031,48195,70214,1805238,1212296,331600,1061,1854109,1854109,1827859,1854109,1854109,933728,920381,1854109,1854109,16,608097191560618255432176906477205415547391069466431903148195,False
Illinois,12757634,6678194,397747,6280447,4968761,4388839,9493,4379346,4023422,571782,3617980,305088,341125,22915,6127,131551,448371,78433,12478664,8746416,239100,1179,12757634,12757634,12588498,12757634,12757634,6313019,6444615,12757634,12757634,17,43888399493437934640234225717823617980305088341125229156127131551448371,False
